Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
71,18,5,63,8,Some Random Commen with Id 71
72,19,4,123,9,Some Random Commen with Id 72
73,20,1,178,7,Some Random Commen with Id 73
74,20,1,94,2,Some Random Commen with Id 74
75,20,1,84,1,Some Random Commen with Id 75
76,21,9,79,8,Some Random Commen with Id 76
77,21,9,89,5,Some Random Commen with Id 77
78,21,9,142,4,Some Random Commen with Id 78
79,21,9,188,4,Some Random Commen with Id 79
80,22,2,84,3,Some Random Commen with Id 80
81,22,2,9,6,Some Random Commen with Id 81
82,23,7,195,4,Some Random Commen with Id 82
83,23,7,180,6,Some Random Commen with Id 83
84,23,7,120,7,Some Random Commen with Id 84
85,23,7,60,4,Some Random Commen with Id 85
86,23,7,64,4,Some Random Commen with Id 86
87,23,7,173,3,Some Random Commen with Id 87
88,23,7,103,0,Some Random Commen with Id 88
89,24,2,168,9,Some Random Commen with Id 89
90,24,2,186,6,Some Random Commen with Id 90
91,24,2,53,5,Some Random Commen with Id 91
92,24,2,30,6,Some Random Commen with Id 92
93,24,2,26,0,Some Random Commen with Id 93
94,24,2,58,7,Some Random Commen with Id 94
95,24,2,10,2,Some Random Commen with Id 95
96,25,8,170,1,Some Random Commen with Id 96
97,25,8,4,4,Some Random Commen with Id 97
98,25,8,185,7,Some Random Commen with Id 98
99,25,8,11,6,Some Random Commen with Id 99
100,25,8,57,7,Some Random Commen with Id 100
101,25,8,36,4,Some Random Commen with Id 101
102,25,8,191,3,Some Random Commen with Id 102
103,25,8,61,5,Some Random Commen with Id 103
104,26,5,187,4,Some Random Commen with Id 104
105,27,7,44,1,Some Random Commen with Id 105
106,27,7,95,4,Some Random Commen with Id 106
107,27,7,50,8,Some Random Commen with Id 107
108,27,7,66,3,Some Random Commen with Id 108
109,27,7,188,0,Some Random Commen with Id 109
110,27,7,119,1,Some Random Commen with Id 110
111,27,7,62,2,Some Random Commen with Id 111
112,29,7,58,1,Some Random Commen with Id 112
113,29,7,78,9,Some Random Commen with Id 113
114,29,7,63,6,Some Random Commen with Id 114
115,29,7,99,5,Some Random Commen with Id 115
116,29,7,12,5,Some Random Commen with Id 116
117,29,7,176,8,Some Random Commen with Id 117
118,29,7,183,7,Some Random Commen with Id 118
119,29,7,19,5,Some Random Commen with Id 119
120,29,7,110,5,Some Random Commen with Id 120
121,30,1,92,4,Some Random Commen with Id 121
122,30,1,91,7,Some Random Commen with Id 122
123,30,1,96,8,Some Random Commen with Id 123
124,31,7,62,1,Some Random Commen with Id 124
125,31,7,130,5,Some Random Commen with Id 125
126,31,7,175,8,Some Random Commen with Id 126
127,31,7,54,9,Some Random Commen with Id 127
128,31,7,84,3,Some Random Commen with Id 128
129,31,7,85,1,Some Random Commen with Id 129
130,31,7,8,1,Some Random Commen with Id 130
131,31,7,189,1,Some Random Commen with Id 131
132,31,7,131,0,Some Random Commen with Id 132
133,33,2,85,8,Some Random Commen with Id 133
134,33,2,84,2,Some Random Commen with Id 134
135,33,2,89,9,Some Random Commen with Id 135
136,33,2,144,8,Some Random Commen with Id 136
137,34,2,170,5,Some Random Commen with Id 137
138,35,7,180,1,Some Random Commen with Id 138
139,35,7,155,7,Some Random Commen with Id 139
140,35,7,9,3,Some Random Commen with Id 140
141,35,7,71,2,Some Random Commen with Id 141
142,35,7,5,4,Some Random Commen with Id 142
143,35,7,191,4,Some Random Commen with Id 143
144,35,7,16,9,Some Random Commen with Id 144
145,35,7,107,1,Some Random Commen with Id 145
146,35,7,145,0,Some Random Commen with Id 146
147,37,7,144,7,Some Random Commen with Id 147
148,37,7,115,5,Some Random Commen with Id 148
149,37,7,195,1,Some Random Commen with Id 149
150,37,7,137,5,Some Random Commen with Id 150
151,37,7,172,5,Some Random Commen with Id 151
152,37,7,93,7,Some Random Commen with Id 152
153,37,7,46,6,Some Random Commen with Id 153
154,38,7,149,4,Some Random Commen with Id 154
155,38,7,199,9,Some Random Commen with Id 155
156,38,7,73,2,Some Random Commen with Id 156
157,38,7,194,2,Some Random Commen with Id 157
158,38,7,148,1,Some Random Commen with Id 158
159,38,7,110,4,Some Random Commen with Id 159
160,39,1,121,6,Some Random Commen with Id 160
161,39,1,77,7,Some Random Commen with Id 161
